request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"34898043-e509-46c8-a902-b2b0e1da8598",GET,/,"debug=true&locale=en",,302,,,,147907494392200,147907601266500,147907608387100
"b0634d70-b0bc-446d-a43a-f0b6a8a69293",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=698,,147907642671600,147907657919100,147913806645600
"7e6df6cf-f1e6-4be1-b1c8-b5b18ca65d64",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,147913987016200,147913997514700,147913999310000
"88d10a62-1b8a-4ecd-a479-6471fd8f9119",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,147914014670600,147914017843900,147914019345200
"e55d4fb7-7fd0-41ce-9f73-cbac5258fad8",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,147914030743900,147914034591700,147914036109600
"73050e8e-9f13-48dc-a62f-8f8228e67b6d",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,147914046790900,147914050068200,147914051585200
"0dfa4490-63d9-4595-ab5f-89deab4efa73",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,147914062742800,147914066652900,147914069328400
"6b6a4ab1-ba4f-4808-981b-116bad4f58c0",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,147914083660600,147914086803600,147914088220800
"b9e52e80-10f5-4b32-a788-b078c006f863",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,147914096866100,147914100132500,147914101921400
"a49ed8d5-1adf-41e6-9c22-11c7ae041050",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,147914111371300,147914115154700,147914116198600
"3b345e1c-8e6e-48bf-b159-ba2aff199357",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,147914123383000,147914126372000,147914127717200
"c63156b9-46b0-4166-90a4-721c055cecaf",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,147914136663200,147914139590400,147914140889700
"7b6325a2-783f-4253-bd36-4765487b34be",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,147914149662900,147914152198100,147914153534100
"772dd753-3226-47d0-ba48-bf0cc329f857",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,147914161460500,147914164595100,147914166046000
