request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"7b85e013-c87d-4d90-9f44-3d5b2e08c7d9",GET,/,"debug=true&locale=en",,302,,,,6711150159100,6711283148800,6711292766100
"e587fbcc-6328-40cc-a3f8-f78f055cceba",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=698,,6711333341700,6711352181200,6718615024500
"8b316334-7428-49ce-ab5a-a908e76c70d2",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,6718866118700,6718884128000,6718887442400
"8fe3a85f-6503-41c4-9001-c076f8185f62",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,6718907651500,6718913125800,6718914940600
"789e240a-14b5-43bc-adc5-8cf24333c60d",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,6718931116300,6718937916500,6718941502000
"85665f00-3493-4bfb-a979-0099e612a271",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,6718957419300,6718962634900,6718965264200
"81d38f11-6ae5-49a3-9ab7-3a6ebf2e8d70",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,6718976573400,6718981201800,6718983867000
"65874370-f2e6-411d-9763-5739275399ba",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,6718998374600,6719002351900,6719004001300
"3556ba45-2d95-40aa-96b0-1bf5528da0e3",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,6719014634600,6719018578700,6719019604100
"911fdd5f-7463-4fbe-a15b-29c57b756504",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,6719028697000,6719032058400,6719033085200
"a9df6e4f-cc16-4c02-a92d-c4d2119ce596",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,6719044470500,6719049501400,6719050821000
"a161944a-24cd-40d7-a8e2-3eafb3a873ea",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,6719069885900,6719074468400,6719075811700
"a09b5979-ff2e-4c6a-b54f-32e24dd48ed0",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,6719087872800,6719092913200,6719094265400
"b0f8ddac-b1cb-4790-9417-31bebb111791",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,6719112875100,6719116859300,6719118184200
"1c3b9999-50f4-47b2-ba2d-13ddc302ca80",GET,/images/banner.png,,,200,image/png,,,6719129664600,6719133111600,6719134533200
"9fc1112e-7184-4793-92bf-cd2f90377c1a",GET,/images/logo.png,,,200,image/png,,,6719176481200,6719181591100,6719183328900
"34f9a54c-c213-4bf1-92fa-b0e118b27070",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,6719199378100,6719204585100,6719205878200
"538ae1a8-1e5d-43e6-a635-b5999c3c0fd4",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,6719226185900,6719232167000,6719233975700
"f373b889-e9cf-4614-9773-889f0b74c2be",GET,/images/favicon.ico,,,200,image/x-icon,,,6719248530900,6719270671300,6719273194900
